phone,axes,first_with,with_without,first_without
f,Short - Long,+++5.152e-06,++0.008032,+++2.471e-12
f,Slow - Quick,+++6.275e-05,+++1.464e-45,+++4.426e-07
f,Small - Big,+++2.508e-05,+++1.602e-08,0.1753
f,Smooth - Rough_or_not_smooth,+++1.103e-18,+++3.417e-13,+++8.622e-08
f,Ugly - Beautiful,+++3.094e-19,+++1.858e-07,+++1.129e-12
ɡ,Angular - Round,1.0,1.0,1.0
ɡ,Bad - Good,1.0,1.0,1.0
ɡ,Cold - Hot,1.0,1.0,1.0
ɡ,Complex - Simple,1.0,1.0,1.0
ɡ,Cowardly - Brave,1.0,1.0,1.0
ɡ,Dangerous - Secure,1.0,1.0,1.0
ɡ,Dark - Luminous,1.0,1.0,1.0
ɡ,Difficult - Easy,1.0,1.0,1.0
ɡ,Evil - Benign,1.0,1.0,1.0
ɡ,Faded - Bright,1.0,1.0,1.0
ɡ,Feeble - Strong,1.0,1.0,1.0
ɡ,Masculine - Feminine,1.0,1.0,1.0
ɡ,Passive - Active,1.0,1.0,1.0
ɡ,Quiet - Loud,1.0,1.0,1.0
ɡ,Rough - Tender,1.0,1.0,1.0
ɡ,Sad - Joyful,1.0,1.0,1.0
ɡ,Short - Long,1.0,1.0,1.0
ɡ,Slow - Quick,1.0,1.0,1.0
ɡ,Small - Big,1.0,1.0,1.0
ɡ,Smooth - Rough_or_not_smooth,1.0,1.0,1.0
ɡ,Ugly - Beautiful,1.0,1.0,1.0
ɣ,Angular - Round,1.0,+++2.018e-09,1.0
ɣ,Bad - Good,1.0,+++1.841e-13,1.0
ɣ,Cold - Hot,1.0,0.3974,1.0
ɣ,Complex - Simple,1.0,+++3.273e-05,1.0
ɣ,Cowardly - Brave,1.0,++0.005872,1.0
ɣ,Dangerous - Secure,1.0,0.4297,1.0
ɣ,Dark - Luminous,1.0,+++9.2e-17,1.0
ɣ,Difficult - Easy,1.0,+++1.967e-18,1.0
ɣ,Evil - Benign,1.0,+++1.657e-14,1.0
ɣ,Faded - Bright,1.0,+++1.879e-32,1.0
ɣ,Feeble - Strong,1.0,+++1.205e-18,1.0
ɣ,Masculine - Feminine,1.0,0.4514,1.0
ɣ,Passive - Active,1.0,0.265,1.0
ɣ,Quiet - Loud,1.0,+++1.339e-06,1.0
ɣ,Rough - Tender,1.0,+++5.617e-06,1.0
ɣ,Sad - Joyful,1.0,+++7.187e-05,1.0
ɣ,Short - Long,1.0,+++5.763e-23,1.0
ɣ,Slow - Quick,1.0,+++2.52e-14,1.0
ɣ,Small - Big,1.0,0.02752,1.0
ɣ,Smooth - Rough_or_not_smooth,1.0,+++5.345e-05,1.0
ɣ,Ugly - Beautiful,1.0,+++5.643e-25,1.0
ʝ,Angular - Round,+++1.145e-15,+++1.07e-08,+++2.788e-10
ʝ,Bad - Good,0.2632,+++3.071e-08,0.01872
ʝ,Cold - Hot,++0.008368,0.274,++0.005889
ʝ,Complex - Simple,0.313,+++5.218e-07,0.03662
ʝ,Cowardly - Brave,++0.004891,+++3.467e-08,+++5.227e-05
ʝ,Dangerous - Secure,+++5.028e-22,++0.002865,+++1.236e-26
ʝ,Dark - Luminous,+++1.22e-11,+++2.902e-07,+++3.815e-08
ʝ,Difficult - Easy,+++2.682e-14,++0.001987,+++1.181e-12
ʝ,Evil - Benign,++0.001812,+++6.188e-06,+++2.135e-05
ʝ,Faded - Bright,+++3.038e-07,0.0492,+++8.694e-07
ʝ,Feeble - Strong,+++1.077e-07,++0.003554,+++1.29e-09
ʝ,Masculine - Feminine,0.02935,+++3.123e-10,0.3721
ʝ,Passive - Active,+++2.702e-34,0.03979,+++5.596e-36
ʝ,Quiet - Loud,++0.001565,0.05258,++0.003756
ʝ,Rough - Tender,+++0.0005551,+++4.682e-38,0.3672
ʝ,Sad - Joyful,+++7.298e-21,0.04755,+++1.716e-20
ʝ,Short - Long,+++5.81e-14,0.3709,+++1.735e-13
ʝ,Slow - Quick,+++1.357e-26,+++0.0005766,+++1.155e-27
ʝ,Small - Big,+++2.373e-12,0.463,+++4.21e-13
ʝ,Smooth - Rough_or_not_smooth,+++0.0008046,+++5.502e-05,+++1.387e-05
ʝ,Ugly - Beautiful,+++7.146e-05,0.01001,+++2.911e-06
k,Angular - Round,+++7.977e-29,+++7.608e-17,+++1.53e-11
k,Bad - Good,+++1.286e-67,+++1.248e-18,+++1.33e-155
k,Cold - Hot,0.2866,+++6.944e-28,+++1.377e-14
k,Complex - Simple,++0.004809,+++1.993e-91,+++9.837e-75
k,Cowardly - Brave,0.04036,+++3.049e-79,+++9.276e-36
k,Dangerous - Secure,+++6.714e-12,+++8.124e-48,+++0.0004795
k,Dark - Luminous,+++2.848e-06,+++6.621e-16,+++1.273e-29
k,Difficult - Easy,+++2.542e-14,+++8.437e-29,+++5.64e-67
k,Evil - Benign,+++4.212e-32,+++1.173e-14,+++3.407e-83
k,Faded - Bright,+++6.137e-64,+++0.0003864,+++1.701e-62
k,Feeble - Strong,+++1.474e-15,+++1.232e-23,+++4.135e-62
k,Masculine - Feminine,0.05062,+++1.14e-55,+++2.985e-43
k,Passive - Active,+++0.000288,+++9.212e-57,+++1.974e-57
k,Quiet - Loud,0.01004,+++2.338e-31,+++5.995e-10
k,Rough - Tender,+++2.147e-35,+++1.539e-33,+++4.879e-121
k,Sad - Joyful,+++5.854e-103,+++1.975e-47,+++1.51e-40
k,Short - Long,0.3273,+++1.124e-07,+++3.369e-06
k,Slow - Quick,0.01159,+++7.602e-51,+++2.284e-18
k,Small - Big,+++1.927e-06,0.0833,+++1.339e-10
k,Smooth - Rough_or_not_smooth,+++4.074e-124,+++1.342e-115,+++2.701e-21
k,Ugly - Beautiful,+++1.099e-53,+++7.546e-08,+++4.216e-41
l,Angular - Round,0.07497,+++1.548e-124,+++3.607e-09
l,Bad - Good,0.05053,+++4.56e-26,+++1.019e-07
l,Cold - Hot,+++1.768e-14,0.4777,+++5.873e-15
l,Complex - Simple,+++2.733e-08,+++4.681e-05,+++4.087e-12
l,Cowardly - Brave,0.09004,+++9.06e-25,+++2.744e-06
l,Dangerous - Secure,+++1.93e-59,+++3.59e-23,+++3.946e-42
l,Dark - Luminous,+++2.578e-18,+++3.529e-144,0.3428
l,Difficult - Easy,+++9.414e-20,+++2.894e-129,0.066
l,Evil - Benign,0.2363,+++2.005e-22,++0.005955
l,Faded - Bright,+++2.87e-98,+++1.87e-11,+++2.681e-87
l,Feeble - Strong,0.2021,+++5.438e-42,+++0.0002851
l,Masculine - Feminine,0.0295,+++6.791e-32,0.03535
l,Passive - Active,+++4.385e-44,+++5.241e-64,+++1.039e-18
l,Quiet - Loud,0.1827,+++1.397e-35,+++3.68e-07
l,Rough - Tender,0.09717,+++0.0004296,++0.008078
l,Sad - Joyful,+++1.256e-27,+++6.278e-145,++0.003748
l,Short - Long,+++9.497e-35,+++5.667e-08,+++3.823e-46
l,Slow - Quick,+++2.975e-88,+++6.311e-268,+++7.968e-20
